model,n_folds,mean_auc,std_auc,cv_auc,min_auc,max_auc,range_auc,mean_acc,std_acc,mean_f1,std_f1
GNN+CEFAM (Full Hybrid),4,0.9408909406565656,0.032813261300069625,0.034874670253676916,0.888888888888889,0.9775,0.08861111111111108,0.83125,0.048007160924178796,0.8336363636363637,0.03898741291074482
ST-GNN (GNN Only),4,0.9443560606060607,0.03257207960209387,0.034491312081155114,0.9015151515151516,0.9791666666666666,0.07765151515151503,0.7875,0.0649519052838329,0.7422619047619048,0.0789380874820818
BiCA-HS (Transformer),4,0.9629821654040404,0.023225498233988662,0.024118305684554288,0.9368686868686869,0.995,0.058131313131313145,0.875,0.05303300858899107,0.868181999425819,0.07246283501157563
