model,threshold,accuracy,auc,f1,precision,recall,sensitivity,specificity,youden_j,tp,fp,tn,fn
BiCA-HS (Transformer),0.1,0.7375,0.94984375,0.7920792079207921,0.6557377049180327,1.0,1.0,0.475,0.4750000000000001,80,42,38,0
BiCA-HS (Transformer),0.15,0.74375,0.94984375,0.7960199004975125,0.6611570247933884,1.0,1.0,0.4875,0.48750000000000004,80,41,39,0
BiCA-HS (Transformer),0.2,0.74375,0.94984375,0.7960199004975125,0.6611570247933884,1.0,1.0,0.4875,0.48750000000000004,80,41,39,0
BiCA-HS (Transformer),0.25,0.74375,0.94984375,0.7960199004975125,0.6611570247933884,1.0,1.0,0.4875,0.48750000000000004,80,41,39,0
BiCA-HS (Transformer),0.3,0.75,0.94984375,0.8,0.6666666666666666,1.0,1.0,0.5,0.5,80,40,40,0
BiCA-HS (Transformer),0.35,0.7625,0.94984375,0.8080808080808081,0.6779661016949152,1.0,1.0,0.525,0.5249999999999999,80,38,42,0
BiCA-HS (Transformer),0.39999999999999997,0.79375,0.94984375,0.8290155440414507,0.7079646017699115,1.0,1.0,0.5875,0.5874999999999999,80,33,47,0
BiCA-HS (Transformer),0.44999999999999996,0.8375,0.94984375,0.8602150537634409,0.7547169811320755,1.0,1.0,0.675,0.675,80,26,54,0
BiCA-HS (Transformer),0.49999999999999994,0.9,0.94984375,0.9069767441860466,0.8478260869565217,0.975,0.975,0.825,0.7999999999999998,78,14,66,2
BiCA-HS (Transformer),0.5499999999999999,0.84375,0.94984375,0.8387096774193549,0.8666666666666667,0.8125,0.8125,0.875,0.6875,65,10,70,15
BiCA-HS (Transformer),0.6,0.8125,0.94984375,0.7857142857142857,0.9166666666666666,0.6875,0.6875,0.9375,0.625,55,5,75,25
BiCA-HS (Transformer),0.65,0.775,0.94984375,0.7230769230769232,0.94,0.5875,0.5875,0.9625,0.55,47,3,77,33
BiCA-HS (Transformer),0.7,0.6875,0.94984375,0.5535714285714286,0.96875,0.3875,0.3875,0.9875,0.375,31,1,79,49
BiCA-HS (Transformer),0.75,0.625,0.94984375,0.41176470588235303,0.9545454545454546,0.2625,0.2625,0.9875,0.25,21,1,79,59
